,,,Dog,,,,,,,,,,,,,,,,Cat,,,,,,,,,,,,,,,
State,Year,Org Count,Gross Intakes,Community Intakes,Gross Outcomes,Stray at Large,Relinquished by Owner,Seized,Other Intakes,Transferred In,Adoption,Return to Owner,Return to Field,Other Live Outcomes,Transferred Out,Shelter Euthanasia,Died in Care,Lost in Care,Gross Intakes,Community Intakes,Gross Outcomes,Stray at Large,Relinquished by Owner,Seized,Other Intakes,Transferred In,Adoption,Return to Owner,Return to Field,Other Live Outcomes,Transferred Out,Shelter Euthanasia,Died in Care,Lost in Care
AK,2024,43,"10,615","9,454","10,444","5,244","3,165",464,581,"1,161","5,036","2,547",10,121,"1,371","1,284",66,11,"9,644","9,037","9,096","5,805","2,513",145,574,607,"5,642",528,490,124,917,"1,165",209,23
AK,2025,43,"11,147","9,686","10,821","5,331","2,932",467,956,"1,461","5,039","1,900",14,825,"1,892","1,055",77,18,"8,974","8,496","8,283","5,594","2,128",158,617,478,"5,016",312,516,390,761,"1,033",231,24
AL,2024,223,"90,182","76,916","88,017","44,488","21,480","3,430","7,519","13,266","43,658","12,593",83,"2,169","16,062","12,223","1,054",177,"51,309","46,638","49,095","28,683","12,709",812,"4,434","4,671","28,942","1,280","4,114","1,312","5,630","6,147","1,517",153
AL,2025,223,"86,878","73,900","84,940","42,103","22,194","3,726","5,878","12,978","42,531","12,297",89,"2,051","15,418","11,441",827,286,"56,223","50,186","54,641","31,599","14,244",859,"3,484","6,036","32,791","1,479","4,237","1,120","6,375","6,850","1,545",243
AR,2024,203,"64,653","52,216","62,981","30,353","15,517","2,431","3,916","12,437","34,985","9,726",80,890,"11,093","5,408",691,108,"41,690","34,142","39,404","21,494","9,134",634,"2,881","7,548","23,645","1,081","3,022",663,"6,783","3,013","1,093",104
AR,2025,203,"58,425","47,235","57,288","27,184","14,102","2,254","3,695","11,190","32,012","8,610",167,808,"9,731","5,177",610,172,"36,649","31,315","35,060","19,585","8,649",593,"2,487","5,335","20,960",989,"2,619",777,"5,569","2,891","1,100",156
AZ,2024,375,"100,099","84,809","98,203","50,611","22,380","4,836","6,981","15,291","63,685","13,173",377,"1,461","11,100","7,292",984,131,"74,238","64,509","72,808","35,861","20,115","1,427","7,106","9,730","48,521","1,858","5,695","1,485","5,672","7,253","2,228",95
AZ,2025,375,"97,820","82,640","96,188","47,516","23,404","4,936","6,785","15,179","63,427","12,523",555,946,"10,371","7,207",934,225,"79,080","68,210","77,545","36,899","21,814","1,579","7,919","10,870","51,994","1,855","6,350","1,117","6,064","7,632","2,154",379
CA,2024,"1,611","447,945","374,341","436,663","244,423","88,546","15,688","25,686","73,603","241,454","68,111",379,"9,430","64,750","47,583","4,167",791,"393,573","339,086","388,703","233,366","76,382","4,545","24,793","54,487","246,302","11,246","25,294","8,048","41,420","43,176","11,667","1,550"
CA,2025,"1,611","461,857","377,848","450,998","235,826","96,805","16,758","28,458","84,009","252,586","67,642",570,"7,898","71,611","44,630","4,595","1,465","407,778","351,301","399,629","237,305","83,415","4,825","25,757","56,476","251,524","13,057","25,057","6,495","44,149","44,871","12,045","2,430"
CO,2024,272,"100,534","82,667","95,506","41,154","28,155","3,145","10,213","17,868","50,284","21,670",40,"4,903","9,923","8,048",547,91,"77,766","64,807","74,300","34,755","21,276","1,006","7,770","12,959","49,824","3,725","5,860","1,752","6,124","5,603","1,342",71
CO,2025,272,"96,345","78,299","92,426","37,007","28,717","2,963","9,612","18,046","50,271","19,559",58,"4,939","9,884","6,970",538,208,"78,373","64,486","73,229","34,186","22,189",990,"7,122","13,887","48,823","3,434","5,064","1,761","6,955","5,701","1,346",144
CT,2024,212,"59,241","51,102","58,240","32,738","11,788","2,878","3,698","8,138","29,379","10,122",119,"1,170","10,113","6,593",615,130,"54,353","50,750","52,366","34,734","10,597","1,232","4,188","3,603","26,874","1,920","6,479","1,306","8,087","5,934","1,546",221
CT,2025,212,"49,977","41,800","49,056","26,042","10,144","2,372","3,241","8,177","25,484","8,195",109,974,"8,456","5,182",496,160,"41,321","37,737","40,521","25,205","8,510",858,"3,163","3,585","21,793","1,446","4,208",970,"6,165","4,543","1,208",188
DC,2024,13,"10,103","9,205","10,171","6,081","1,920",177,"1,027",898,"5,374","2,248",1,59,"1,220","1,190",73,7,"9,377","8,482","9,445","5,548","2,319",58,557,895,"7,066",344,520,67,378,830,233,7
DC,2025,13,"4,213","2,843","4,780","1,228","1,111",134,370,"1,370","3,208",588,0,49,546,345,33,11,"6,394","4,654","6,084","2,537","1,665",94,358,"1,740","4,600",166,293,75,412,396,134,9
DE,2024,38,"7,642","5,120","7,606","2,428","2,068",220,404,"2,522","5,379",915,2,82,654,504,63,7,"11,962","9,977","11,935","6,195","3,139",73,570,"1,986","9,561",213,372,92,847,487,353,10
DE,2025,38,"7,584","5,179","7,464","2,261","2,319",220,379,"2,404","5,358",879,1,67,646,438,59,18,"11,690","9,509","11,584","5,070","3,738",87,614,"2,182","9,371",274,383,93,610,501,300,51
FL,2024,798,"189,079","145,693","190,621","75,857","48,452","7,785","13,600","43,385","121,653","22,799",90,"4,765","26,127","13,278","1,730",180,"245,970","213,849","242,212","144,479","50,642","2,574","16,153","32,121","143,936","5,666","36,886","4,534","27,786","16,911","6,126",366
FL,2025,798,"180,710","136,473","183,995","68,207","48,866","6,709","12,690","44,237","120,165","21,485",91,"4,250","23,929","11,874","1,675",525,"244,756","210,904","243,874","139,141","53,622","2,976","15,164","33,853","151,123","5,559","30,976","3,986","27,242","17,828","6,278",882
GA,2024,403,"123,780","100,546","121,264","56,833","28,763","6,572","8,378","23,234","66,477","16,537",144,"2,130","22,691","11,730","1,355",200,"100,966","82,802","98,960","45,791","28,645","1,550","6,816","18,164","61,684","2,539","5,194","3,016","16,869","6,300","3,145",214
